,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JuggleGoomba,,JuggleGoomba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*
,,,,,,,,,,,,,QuestionBlock+Coin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrickBlock,BrickBlock,BrickBlock,BrickBlock,BrickBlock,BrickBlock,QuestionBlock,,,,,,,,,,,,,,BrickBlock,BrickBlock,BrickBlock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,StoneBlock,StoneBlock,,,,,,,,,,,,,,,,,,,,,,*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,StoneBlock,StoneBlock,StoneBlock,,,,,,,,,,,,,,,,,,,,,,*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,StoneBlock,StoneBlock,StoneBlock,StoneBlock,,,,,,,,,,,,,,,,,,,,,,*
,,,,,,,,,,,,,JuggleGoomba,,JuggleGoomba,,,,,,,,,,,,,,,,,,,,,,,,,,,HiddenBlock+LifeMushroom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,StoneBlock,StoneBlock,StoneBlock,StoneBlock,StoneBlock,,,,,,,,,,,,,,,,,,,,,,*
,,,,,,,,QuestionBlock+Coin,,,BrickBlock,QuestionBlock+BigMushroom,BrickBlock,QuestionBlock+Coin,BrickBlock,,,,,,,,,,,,,,,,,,,,,,LeftPipeTopP,RightPipeTopP,,,,,,,,,,BrickBlock,QuestionBlock+BigMushroom,BrickBlock,,,,,,,9HitBrickBlock+Coin,,,,,,,,,,,9HitBrickBlock+Coin,,,,,,,,,,StoneBlock,StoneBlock,,,StoneBlock,,,,,,,,,,,,,BrickBlock,BrickBlock,QuestionBlock+Coin,BrickBlock,,,,,,,,,,,,,StoneBlock,StoneBlock,StoneBlock,StoneBlock,StoneBlock,StoneBlock,,,,,,,,,,,,,,,,,,,,,,*
,,,,,,,,,,,,,,,,,,,,,,,,,,LeftPipeTop,RightPipeTop,,,,,,,,,,LeftPipePiece,RightPipePiece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,StoneBlock,StoneBlock,StoneBlock,,,StoneBlock,StoneBlock,,,,,,,,,,,,,,,,,,,,,,,,,,,StoneBlock,StoneBlock,StoneBlock,StoneBlock,StoneBlock,StoneBlock,StoneBlock,,,,,,,,,,,,,,,,,,,,,,*
